id,vendor_id,model,jpg_url,h264_url,mjpg_url,resolution,shape,onvif,psia,ptz,infrared,varifocal,sd_card,upnp,created_at,updated_at,model_slug,audio_io,default_username,default_password,more_info,discontinued,wifi,poe,audio_url,official_url
35,hikvision,hikvision_default,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,640x480,Dome,t,t,f,t,t,f,f,47:13.5,28:01.5,ds-2cd733f-eiz,t,admin,12345,,f,f,t,,
35,hikvision,ds-2cd733f-e-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,640x480,Dome,t,t,f,t,t,f,f,47:13.5,28:01.5,ds-2cd733f-eiz,t,admin,12345,,f,f,t,,
33,hikvision,ds-2cd793p-n-fwd-e-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,pal:704x576;ntsc:704x480,Dome,t,t,f,t,t,f,f,47:13.3,28:01.5,ds-2cd793pnfwd-eiz,t,admin,12345,,f,f,t,,
32,hikvision,ds-2cd764f-e-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,t,f,f,47:13.2,28:01.6,ds-2cd764f-eiz,t,admin,12345,,f,f,t,,
31,hikvision,ds-2cd764fwd-e-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,t,f,f,47:13.1,28:01.6,ds-2cd764fwd-eiz,t,admin,12345,,f,f,t,,
30,hikvision,ds-2cd753f-e-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Dome,t,t,f,t,t,f,f,47:13.0,28:01.6,ds-2cd753f-eiz,t,admin,12345,,f,f,t,,
29,hikvision,ds-2cd755f-e-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1920x1080,Dome,t,t,f,t,t,f,t,47:12.8,28:01.6,ds-2cd755f-eiz,t,admin,12345,,f,f,t,,
27,hikvision,ds-2cd754f-e-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Dome,t,t,f,t,t,f,f,47:12.6,28:01.7,ds-2cd754f-eiz,t,admin,12345,,f,f,t,,
26,hikvision,ds-2cd783f-e-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2560x1920,Dome,t,t,f,t,t,f,f,47:12.5,28:01.7,ds-2cd783f-eiz,t,admin,12345,,f,f,t,,
25,hikvision,ds-2cd833f-e-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,640x480,Box,t,t,f,f,f,f,f,47:12.3,28:01.7,ds-2cd833f-ew,t,admin,12345,,f,t,t,,
24,hikvision,ds-2cd893pf-nf-e-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,pal:704x576;ntsc:704x480,Box,t,t,f,f,f,f,f,47:12.2,28:01.7,ds-2cd893pfnf-ew,t,admin,12345,,f,t,t,,
22,hikvision,ds-2cd864f-e-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Box,t,t,f,f,f,f,f,47:11.9,28:01.7,ds-2cd864f-ew,t,admin,12345,,f,t,t,,
20,hikvision,ds-2cd853f-e-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Box,t,t,f,f,f,f,f,47:11.5,28:01.8,ds-2cd853f-ew,t,admin,12345,,f,t,t,,
19,hikvision,ds-2cd855f-e,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1920x1080,Box,t,t,f,f,f,f,f,47:11.4,28:01.8,ds-2cd855f-e,t,admin,12345,,f,f,t,,
18,hikvision,ds-2cd854f-e-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Box,t,t,f,f,f,f,f,47:11.3,28:01.8,ds-2cd854f-ew,t,admin,12345,,f,t,t,,
17,hikvision,ds-2cd883f-e-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2560x1920,Box,t,t,f,f,f,f,f,47:11.1,28:01.8,ds-2cd883f-ew,t,admin,12345,,f,t,t,,
16,hikvision,ds-2cd4324f-i-z-h-s,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1920x1080,Dome,t,t,f,t,t,f,t,47:11.0,28:01.9,ds-2cd4324f-izhs,f,admin,12345,,f,f,t,,
14,hikvision,ds-2cd4312f-i-z-h-s,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x1024,Dome,t,t,f,t,t,f,t,47:10.8,28:01.9,ds-2cd4312f-izhs,f,admin,12345,,f,f,t,,
8,hikvision,ds-2cd4132fwd-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,t,f,t,47:10.1,28:01.9,ds-2cd4132fwd-iz,t,admin,12345,,f,f,t,,
6,hikvision,ds-2cd4124f-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1920x1080,Dome,t,t,f,t,f,f,t,47:09.8,28:02.0,ds-2cd4124f-iz,t,admin,12345,,f,f,t,,
5,hikvision,ds-2cd4112f-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x1024,Dome,t,t,f,t,f,f,t,47:09.7,28:02.0,ds-2cd4112f-iz,t,admin,12345,,f,f,t,,
28,hikvision,ds-2cd754fwd-e-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Dome,t,t,f,t,t,f,f,47:12.7,28:02.0,ds-2cd754fwd-eiz,t,admin,12345,,f,f,t,,
1,hikvision,ds-2cd4012f-a-p-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x1024,Box,t,t,f,f,f,f,t,47:09.2,28:01.1,ds-2cd4012f-apw,t,admin,12345,,f,t,t,,
